metric,parameter,S1,S1_conf,ST,ST_conf
peak_ratio__NESTOR - BES,baseline_scale,-0.13048543111869895,0.34614488733270793,0.29207246734107645,2.47064582939405
peak_ratio__NESTOR - BES,substrate_threshold,-0.09645950183245068,0.1913481148881123,0.1796882133473287,0.22576420431931654
peak_ratio__NESTOR - BES,diel_phase_hours,-0.14272323489741004,0.16786429584320392,0.13297626704518176,0.13398877452042537
peak_ratio__NESTOR - BES,substrate_alpha,0.15737085891824532,0.20468510028408474,0.059189210545468204,0.04469293877155847
peak_ratio__NESTOR - BES,f_arch_drain,-0.13521721055110886,0.4209454048253679,0.057989651539849314,0.04374627855008475
peak_ratio__NESTOR - BES,T_ref_c,0.06554349784461562,0.20572975022753637,0.03602672070362177,0.08176522816514169
peak_ratio__NESTOR - BES,f_arch_channel,-0.0495954331862691,0.06103108664502843,0.007364347809657292,0.005011601591241168
peak_ratio__NESTOR - BES,Q10,-0.010900580616554936,0.05539414677379621,0.003909256848598696,0.023495902258578946
peak_ratio__NESTOR - BES,f_arch_estuary,0.013445475469727733,0.08961609919553225,0.00387766742177033,0.023797597995136765
peak_ratio__NESTOR - BES,f_arch_bay,0.0013927896861134924,0.0019307591121192826,2.153025774489714e-06,2.5243592083024185e-06
peak_ratio__SAN YSIDRO,diel_phase_hours,0.44568442254570645,0.3699142998197715,0.18355376916479038,0.3146578522255419
peak_ratio__SAN YSIDRO,baseline_scale,-0.16758703171752842,0.6068107285177154,0.17336583623201035,0.6481254277589737
peak_ratio__SAN YSIDRO,f_arch_drain,0.22173994756274665,0.6038845971958552,0.09318798594797963,0.24013434609137854
peak_ratio__SAN YSIDRO,substrate_threshold,-0.006708061758170381,0.21535950745252702,0.05272633786334759,0.16148159217400201
peak_ratio__SAN YSIDRO,substrate_alpha,0.3523048787876537,0.24241795373522815,0.05239645032855615,0.029947829420196307
peak_ratio__SAN YSIDRO,diel_amplitude,0.2887197839718436,0.3360350273171195,0.051410527207588416,0.043938689582786496
peak_ratio__SAN YSIDRO,T_ref_c,-0.1453512082338129,0.24849415525774102,0.033572449350668415,0.06867872410823811
peak_ratio__SAN YSIDRO,Q10,-0.15990732030733185,0.3466391531698755,0.03307205684922751,0.016712084244923917
peak_ratio__SAN YSIDRO,f_arch_channel,0.0323208492638199,0.2115941763955157,0.0110029576597827,0.062307224675051336
peak_ratio__SAN YSIDRO,f_arch_estuary,-0.0003113572644655024,0.00166998853347872,5.677972960166056e-06,3.0454242823456387e-05
peak_ratio__SAN YSIDRO,f_arch_bay,-1.8823475382050655e-05,0.00010096115182090597,2.0752715617040572e-08,1.1130877957351275e-07
rms__IB CIVIC CTR,baseline_scale,-0.09596660307925349,0.4062592622491714,0.09741221220854102,0.5737337082523579
rms__IB CIVIC CTR,diel_amplitude,0.35991389359208886,0.40770163518957897,0.058125813547707086,0.09592374584095639
rms__IB CIVIC CTR,substrate_threshold,-0.06138641041642664,0.1487017181656101,0.05364787102353232,0.2523839916529203
rms__IB CIVIC CTR,substrate_alpha,0.16621244211995215,0.1399220194524943,0.02470847272652236,0.09417021504376072
rms__IB CIVIC CTR,T_ref_c,0.08916229978274678,0.16975177537216152,0.015697956606430398,0.0682700222096488
rms__IB CIVIC CTR,f_arch_estuary,0.04745274330012035,0.1536973450607887,0.01381274229811218,0.0967627386281141
